OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_406	Fungi	 Ascomycota	 Orbiliomycetes	 Orbiliales	 Orbiliaceae	 Dactylella	 Dactylella atractoides
OTU_798	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Thyronectria	 Thyronectria lamyi
OTU_2199	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Cystofilobasidiaceae	 Cystofilobasidium	 Cystofilobasidium sp. ST12.14/508
OTU_305	Fungi	 Ascomycota	 Lecanoromycetes	 Ostropales	 Graphidaceae	 Astrochapsa	 Astrochapsa astroidea
OTU_303	Fungi	 Basidiomycota	 Microbotryomycetes	 unidentified	 unidentified	 Curvibasidium	 Curvibasidium cygneicollum
OTU_167	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Cryptococcaceae	 Cryptococcus	 Cryptococcus sp. YM25342
OTU_1106	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora sp.
OTU_212	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Cucurbitariaceae	 Pyrenochaeta	 Pyrenochaeta sp. MUT 4378
OTU_1770	Fungi	 Ascomycota	 Sordariomycetes	 Glomerellales	 Glomerellaceae	 Colletotrichum	 Colletotrichum sp. CMON37
OTU_91	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 unidentified	 Acremonium	 Acremonium sp. JCM 28389
OTU_1611	Fungi	 Ascomycota	 Lecanoromycetes	 Ostropales	 Graphidaceae	 Gyalectidium	 Gyalectidium catenulatum
OTU_203	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Pichiaceae	 Pichia	 Pichia sp. S413Y4
OTU_2016	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Septoria	 Septoria stellariae
OTU_113	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Cucurbitariaceae	 Pyrenochaetopsis	 Pyrenochaetopsis sp. 1 NV-2015
OTU_972	Fungi	 Ascomycota	 Lecanoromycetes	 Pertusariales	 Icmadophilaceae	 Siphulella	 Siphulella coralloidea
OTU_133	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Phaeosphaeriaceae	 Setophoma	 Setophoma vernoniae
OTU_537	Fungi	 Basidiomycota	 Cystobasidiomycetes	 unidentified	 unidentified	 Symmetrospora	 Symmetrospora gracilis
OTU_45	Fungi	 Ascomycota	 Eurotiomycetes	 Onygenales	 Ascosphaeraceae	 Ascosphaera	 Ascosphaera cf. larvis 64254
OTU_740	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Ascomycota
OTU_1453	Fungi	 Ascomycota	 Taphrinomycetes	 Taphrinales	 Protomycetaceae	 Protomyces	 Protomyces inouyei
OTU_237	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Pichiaceae	 Ogataea	 Ogataea nakhonphanomensis
OTU_538	Fungi	 Ascomycota	 Pezizomycetes	 Pezizales	 Morchellaceae	 Morchella	 Morchella importuna
OTU_1	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Pichiaceae	 Ogataea	 Ogataea nakhonphanomensis
OTU_159	Fungi	 Basidiomycota	 Cystobasidiomycetes	 unidentified	 unidentified	 Symmetrospora	 Symmetrospora sp. 6/2-4
OTU_267	Fungi	 Ascomycota	 Pezizomycetes	 Pezizales	 Pyronemataceae	 Heydenia	 Heydenia arietina
OTU_682	Fungi	 Ascomycota	 Eurotiomycetes	 Eurotiales	 Aspergillaceae	 Penicillium	 Penicillium sp. JCM 28583
OTU_556	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Didymellaceae	 Neoascochyta	 Neoascochyta paspali
OTU_2144	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Strophariaceae	 Hypholoma	 Hypholoma fasciculare
OTU_1305	Fungi	 Ascomycota	 Dothideomycetes	 unidentified	 unidentified	 Cryomyces	 Cryomyces antarcticus
OTU_830	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Sclerotiniaceae	 Sclerotinia	 Sclerotinia sclerotiorum
OTU_433	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Cucurbitariaceae	 Pyrenochaeta	 Pyrenochaeta sp. DTO 305-C6
OTU_1395	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Claviceps	 Claviceps monticola
OTU_477	Fungi	 Basidiomycota	 Microbotryomycetes	 Leucosporidiales	 Leucosporidiaceae	 Leucosporidium	 Leucosporidium fragarium
OTU_810	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 unidentified	 Acremonium	 Acremonium alternatum
OTU_1246	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Hypocreaceae	 Trichoderma	 Trichoderma sp. JCM 28589
OTU_482	Fungi	 Ascomycota	 Sordariomycetes	 Coniochaetales	 Coniochaetaceae	 Coniochaeta	 Coniochaeta mutabilis
OTU_1840	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Chaetomiaceae	 Chaetomium	 Chaetomium thermophilum
OTU_652	Fungi	 Ascomycota	 Sordariomycetes	 Diaporthales	 Gnomoniaceae	 Gnomonia	 Gnomonia gnomon
OTU_387	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Xylariaceae	 unidentified	 Xylariaceae sp.
OTU_435	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora sp. K111013-6-12
OTU_33	Fungi	 Basidiomycota	 Malasseziomycetes	 Malasseziales	 unidentified	 unidentified	 uncultured Malassezia
OTU_225	Fungi	 Basidiomycota	 Microbotryomycetes	 Microbotryales	 Microbotryaceae	 Microbotryum	 Microbotryum lychnidis-dioicae
OTU_1105	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Epichloe	 Epichloe clarkii
OTU_2167	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Cladosporiaceae	 Cladosporium	 Cladosporium sp. 6 SG-2017
OTU_2192	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Saccharomycodaceae	 Hanseniaspora	 Hanseniaspora sp. GJ5M15
OTU_367	Fungi	 Basidiomycota	 Agaricomycetes	 Hymenochaetales	 unidentified	 Resinicium	 Resinicium bicolor
OTU_2021	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Bartaliniaceae	 Bartalinia	 Bartalinia robillardoides
OTU_1481	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Aigialaceae	 Neoastrosphaeriella	 Neoastrosphaeriella krabiensis
OTU_588	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Geastrumia	 Geastrumia sp. N12C11
OTU_250	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Cladosporiaceae	 Cladosporium	 Cladosporium sp. 6 SG-2017
OTU_831	Fungi	 Chytridiomycota	 Chytridiomycetes	 Chytridiales	 unidentified	 Zygorhizidium	 Zygorhizidium aff. melosirae KS-2016
OTU_1102	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Sporocadaceae	 Discosia	 Discosia sp. WJL-2015a
OTU_405	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Saccharomycetaceae	 Issatchenkia	 Issatchenkia sp. YM24322
