OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
OTU341	0	0	0	37	0	0	7	0	10	0	28	0	0	17	0	0	0	0	0	0	2	0	0	2
OTU342	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
OTU345	0	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0
OTU346	0	0	0	0	0	5	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
OTU347	0	0	0	0	0	0	22	0	0	0	0	0	4	0	0	0	0	0	39	0	0	0	0	0
OTU349	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
OTU35	7825	0	0	182	0	56	363	0	0	0	0	0	0	0	0	0	0	0	1278	1772	0	0	0	0
OTU351	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0
OTU355	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU36	0	0	0	0	0	0	0	0	0	20794	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU361	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
OTU363	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	0	0	0	0	0	0	0	0
OTU364	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
OTU37	0	0	3	9678	0	11	8	0	4	0	0	5755	2	0	0	0	4	0	4576	177	0	1060	0	0
OTU372	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU373	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU374	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
OTU375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	0
OTU379	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU384	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
OTU386	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU389	10	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU39	274	7613	3	171	0	2773	119	0	0	3953	2265	0	0	0	0	3	0	0	2	0	0	0	0	0
